annotation,sleep_count,duration,durationHr
sleep_quiet,0,29986.0,8.329444444444444
sleep_quiet,1,,
sleep_quiet,0,11725.0,3.2569444444444446
sleep_quiet,1,,
sleep_quiet,0,22731.0,6.314166666666667
sleep_quiet,1,,
sleep_quiet,0,2264.0,0.6288888888888889
sleep_quiet,1,,
sleep_quiet,0,29857.0,8.293611111111112
sleep_quiet,1,,
sleep_quiet,0,5291.0,1.4697222222222222
sleep_quiet,1,,
sleep_quiet,0,19292.0,5.358888888888889
sleep_quiet,1,,
sleep_quiet,0,10020.0,2.783333333333333
sleep_quiet,1,,
sleep_quiet,0,6978.0,1.9383333333333332
sleep_quiet,1,,
sleep_quiet,0,31611.0,8.780833333333334
sleep_quiet,1,,
sleep_quiet,0,10913.0,3.031388888888889
sleep_quiet,1,,
sleep_quiet,0,25620.0,7.116666666666666
sleep_quiet,1,,
sleep_quiet,0,2278.0,0.6327777777777778
sleep_quiet,1,,
sleep_quiet,0,11314.0,3.142777777777778
sleep_quiet,1,,
sleep_quiet,0,23620.0,6.561111111111111
sleep_quiet,1,,
sleep_quiet,0,23955.0,6.654166666666667
sleep_quiet,1,,
sleep_quiet,0,11334.0,3.1483333333333334
sleep_quiet,1,,
sleep_quiet,0,14637.0,4.065833333333333
sleep_quiet,1,,
sleep_quiet,0,15570.0,4.325
sleep_quiet,1,,
sleep_quiet,0,11295.0,3.1375
sleep_quiet,1,,
sleep_quiet,0,25029.0,6.9525
sleep_quiet,1,,
sleep_quiet,0,13944.0,3.8733333333333335
sleep_quiet,1,,
sleep_quiet,0,17032.0,4.731111111111111
sleep_quiet,1,,
sleep_quiet,0,35579.0,9.883055555555556
sleep_quiet,1,,
sleep_quiet,0,36237.0,10.065833333333334
sleep_quiet,1,,
sleep_quiet,0,35852.0,9.95888888888889
sleep_quiet,1,,
sleep_quiet,0,37588.0,10.44111111111111
sleep_quiet,1,,
sleep_quiet,0,33971.0,9.436388888888889
sleep_quiet,1,,
sleep_quiet,0,3356.0,0.9322222222222222
sleep_quiet,1,,
sleep_quiet,0,5053.0,1.4036111111111111
sleep_quiet,1,,
sleep_quiet,0,29180.0,8.105555555555556
sleep_quiet,1,,
sleep_quiet,0,7963.0,2.2119444444444443
sleep_quiet,1,,
sleep_quiet,0,26416.0,7.337777777777778
sleep_quiet,1,,
sleep_quiet,0,2819.0,0.7830555555555555
sleep_quiet,1,,
sleep_quiet,0,30040.0,8.344444444444445
sleep_quiet,1,,
sleep_quiet,0,7727.0,2.1463888888888887
sleep_quiet,1,,
sleep_quiet,0,27928.0,7.757777777777778
sleep_quiet,1,,
sleep_quiet,0,4537.0,1.2602777777777778
sleep_quiet,1,,
sleep_quiet,0,30403.0,8.445277777777777
sleep_quiet,1,,
sleep_quiet,0,5165.0,1.4347222222222222
sleep_quiet,1,,
sleep_quiet,0,26241.0,7.289166666666667
sleep_quiet,1,,
sleep_quiet,0,8173.0,2.270277777777778
sleep_quiet,1,,
sleep_quiet,0,4183.0,1.1619444444444444
sleep_quiet,1,,
sleep_quiet,0,6174.0,1.715
sleep_quiet,1,,
